Trigger,Method,mae,rmse,p95_abs_err,inband_frac,upper_viol_frac,lower_viol_frac,viol_mag,cut_TV,cut_step_rms,cut_step_max,tt_inband,aa_inband,score_50_50,score_80_AA
HT,Constant,0.17902794153038365,0.18696110862092982,0.236,0.010752688172043012,0.005376344086021506,0.9838709677419355,0.15918923185296427,0.0,0.0,0.0,94.50643954169611,18.50298435231489,56.5047119470055,33.70367539019114
HT,PD,0.030480080620168645,0.038037537737322574,0.066,0.3763440860215054,0.03763440860215054,0.5752688172043011,0.013920940835222405,181.27532483729797,1.22867801891469,5.025324837297902,97.89885997396874,25.065776297400607,61.48231813568467,39.632393032714226
HT,DQN,0.01405981312330736,0.018372387658913296,0.03799999999999998,0.7741935483870968,0.14516129032258066,0.06989247311827956,0.0026834690372858527,546.0,3.763264827535017,10.0,98.12409981169577,26.21943375292436,62.171766782310065,40.60036696467865
AS,Constant,0.16389315389347575,0.17023316199167127,0.216,0.016129032258064516,0.0,0.9838709677419355,0.1441082076569166,0.0,0.0,0.0,90.20125398056724,17.09792379976564,53.649588890166434,31.718589835925965
AS,PD,0.03375957321832329,0.04086137286566447,0.07199999999999998,0.3225806451612903,0.026881720430107527,0.6451612903225806,0.0170391431107964,94.0692092791221,0.614511572757291,1.879209279121973,93.52510018681899,22.478186597018563,58.00164339191879,36.68756931497865
AS,DQN,0.014828854773728813,0.018696314332110206,0.035499999999999976,0.7096774193548387,0.23118279569892472,0.026881720430107527,0.0026881720430107533,408.0,2.7248853186877424,7.5,93.9330179007243,22.884844729749236,58.40893131523678,37.09447936394426
